"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu00422",412,51,11,1,0,0,0,0,0,0
"Otu00423",36,28,0,7,0,0,0,0,0,0
"Otu00424",0,0,69,54,20,0,0,18,0,0
"Otu00425",0,0,0,0,0,0,0,0,0,0
"Otu00426",0,0,0,2,0,0,0,0,0,0
"Otu00427",0,0,9,145,0,0,0,53,0,0
"Otu00428",35,8,64,0,9,0,0,8,0,0
"Otu00429",0,0,0,0,0,0,0,0,0,0
"Otu00430",0,0,0,0,0,0,0,0,0,0
"Otu00431",2,0,0,0,0,0,0,0,173,0
"Otu00432",12,0,0,0,0,0,23,0,0,0
"Otu00433",0,0,0,40,0,0,73,0,0,0
"Otu00434",0,0,0,0,0,111,2,0,0,18
"Otu00435",12,134,2,1,13,0,7,3,3,0
"Otu00436",12,124,1,1,4,25,6,1,0,3
"Otu00437",10,23,0,0,15,6,5,1,0,3
"Otu00438",0,0,2,0,5,0,12,6,0,1
"Otu00440",0,0,0,0,0,0,0,0,0,0
"Otu00441",0,5,0,2,0,0,4,15,0,0
"Otu00443",0,0,0,0,0,0,368,0,0,0
"Otu00444",233,46,0,0,11,0,2,0,0,0
"Otu00445",0,0,0,169,0,0,0,140,0,0
"Otu00446",0,0,0,0,0,0,0,0,0,0
"Otu00447",6,0,0,0,61,0,3,0,0,0
"Otu00448",0,0,0,0,0,0,0,0,0,0
"Otu00449",1,0,0,2,6,0,5,12,0,0
"Otu00450",0,0,0,0,0,140,0,0,0,0
"Otu00451",156,14,34,0,8,0,16,0,0,3
"Otu00452",0,0,0,0,0,0,0,0,0,0
"Otu00453",0,0,0,0,0,0,0,18,0,0
"Otu00454",31,91,0,1,29,0,12,0,0,9
"Otu00455",6,24,11,2,0,0,9,3,0,30
"Otu00456",0,60,59,13,0,0,0,27,0,0
"Otu00457",0,0,0,0,0,0,0,0,0,0
"Otu00458",0,21,0,0,0,0,10,0,0,0
"Otu00460",0,0,4,1,27,2,0,12,0,0
"Otu00461",0,0,0,0,0,0,0,0,0,0
"Otu00462",0,0,0,0,0,0,0,2,0,0
"Otu00463",0,0,0,0,0,0,0,0,0,0
"Otu00464",0,0,0,0,0,0,12,0,0,214
"Otu00465",0,0,0,0,16,0,27,0,0,4
"Otu00467",0,6,0,0,0,0,0,0,2,0
"Otu00468",26,0,0,202,9,0,0,0,0,1
"Otu00469",9,127,0,3,4,0,6,2,0,4
"Otu00470",0,0,0,0,74,0,0,0,0,0
"Otu00471",0,0,0,0,0,0,0,0,0,0
"Otu00472",0,4,1,6,44,0,2,0,0,0
"Otu00473",0,0,0,0,0,0,0,0,0,0
"Otu00474",0,0,0,0,0,0,0,0,0,0
"Otu00475",2,0,0,7,3,0,13,0,0,0
"Otu00476",0,3,37,1,0,41,0,0,0,0
"Otu00477",0,0,30,246,0,0,0,0,0,0
"Otu00478",0,0,0,0,0,0,0,0,1,0
"Otu00479",0,4,0,0,18,0,3,0,0,77
"Otu00481",0,0,0,10,0,0,0,9,0,0
"Otu00482",0,0,0,0,0,0,0,30,0,0
