"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu14982","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Otu14984","Bacteria","Patescibacteria","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified"
"Otu14987","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu14988","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu14989","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu14990","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","CCM11a_fa","CCM11a_ge"
"Otu14991","Bacteria","Acidobacteriota","Subgroup_18","Subgroup_18_or","Subgroup_18_fa","Subgroup_18_ge"
"Otu14993","Bacteria","Patescibacteria","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified"
"Otu14995","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu14997","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured_ge"
"Otu14998","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu14999","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"Otu15000","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"Otu15003","Bacteria","Cyanobacteria","Vampirivibrionia","Vampirivibrionia_unclassified","Vampirivibrionia_unclassified","Vampirivibrionia_unclassified"
"Otu15004","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured"
"Otu15006","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rudaea"
"Otu15007","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacteraceae_unclassified"
"Otu15009","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Otu15012","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Otu15013","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu15015","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Otu15020","Bacteria","Patescibacteria","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified"
