alt_sample_name,sample_name,date,SampleID_16S,SampleID_18S,bio_rep,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_do,ysi_spc,ysi_ph,ysi_orp,alkalinity_caco3,bicarbonate_hco3,calcium,chloride,magnesium,potassium,sio2,sodium,strontium,sulfate,tds,dist_from_summit,fi_Best,quadrant,quadrant_ew,region
Lookout Spring,Lookout Spring,7/24/17,JM1732_Lookout_Spring,,0,MH,Spring,45.34168678,-121.5353312,1680.06,5.6,9.59,34.4,6.98,230.7,17,21,2.78,0.582,0.65,0.96,24.2,2.06,0.025,0.322,42,13079.3,0.5,SE,East,Outlier
Near NF 3540,NF 3540 Spring,10/10/16,JM164_Near_NF_45,,1,MH,Spring,45.30352945,-121.608,1341.12,5.6,8.75,33.2,5.63,282.6,22,27,4.39,,0.8,0.369,7.17,2.06,0.038,,30,10403,0.07,SE,East,Outlier
Near NF 3540,NF 3540 Spring,10/10/16,JM1613_Near_NF_20,,2,MH,Spring,45.30352945,-121.608,1341.12,5.6,8.75,33.2,5.63,282.6,22,27,4.39,,0.8,0.369,7.17,2.06,0.038,,30,10403,0.07,SE,East,Outlier
Buzzard Fountain 1,Buzzard Fountain Spring,7/26/17,JM1717_Buzzard_Fountain,JM1717_Buzzard_Fountain,1,MH,Spring,45.27743485,-121.6933848,1245.41,8.5,9.53,31,6.98,183,28,34,2.73,0.712,0.7,1.44,32.1,2.37,0.034,0.293,58,10689.6,0.5,SE,East,Outlier
Buzzard Fountain 2,Buzzard Fountain Spring,7/26/17,JM1776_Buzzard_Fountain,JM1776_Buzzard_Fountain,2,MH,Spring,45.27743485,-121.6933848,1245.41,8.5,9.53,31,6.98,183,28,34,2.73,0.712,0.7,1.44,32.1,2.37,0.034,0.293,58,10689.6,0.5,SE,East,Outlier
Camp Windy,Camp Windy Spring,7/24/17,JM171_Camp_Windy,,0,MH,Spring,45.29005317,-121.5837558,1667.26,7.7,9.34,27.9,7.25,200.1,17,21,3.2,0.581,0.42,1.18,19.9,1.73,0.024,0.244,38,12792,0.3,SE,East,Outlier
Near Camp Windy,Camp Windy Spring,10/10/16,JM162_Camp_Windy_45,,1,MH,Spring,45.2899995,-121.5837826,1667.256,4.6,8.93,27.4,6.19,311.6,20,25,3.62,,0.466,1.11,17.7,1.75,0.025,,38,12794.9,0.32,SE,East,Outlier
Near Camp Windy,Camp Windy Spring,10/10/16,JM167_Camp_Windy_20,,2,MH,Spring,45.2899995,-121.5837826,1667.256,4.6,8.93,27.4,6.19,311.6,20,25,3.62,,0.466,1.11,17.7,1.75,0.025,,38,12794.9,0.32,SE,East,Outlier
Elizabeth Spring,Piegan Spring,7/26/18,,,,GNP,Spring,48.70314771,-113.6939869,2368.3,0.5,11.14,37,7.89,154.7,,,,,,,,,,,,,0.97,,,Piegan Region
Palmer B Spring 1,Palmer B Spring,7/23/17,JM1719_Palmer_B,JM1719_Palmer_B,1,MH,Spring,45.35311155,-121.6494124,1677.01,3.3,9.62,18.3,6.66,241.8,13,15,1.75,0.237,0.13,0.42,22.9,2.1,0.014,0.195,36,4302,0.41,SE,East,Outlier
